Alternative,Blues,Classical,Country,HipHop/Rap,Latin,R&B,Rock
Dominic Fike Chicken Tenders,Johnnie Taylor Soul Heaven,Silas Bassa Wonder,テイラー・スウィフト All Too Well,Wale On Chill (feat. Jeremih),Jay Sánchez Por Tenerte,6LACK Elephant in the Room,ZZ Top Sharp Dressed Man
Green Day Oh Yeah!,Stein Urheim Paper Cutouts,New Zealand Symphony Orchestra & Andrew Schenck Adagio for Strings,High South Everybody's Getting High on Something,The Kid LAROI & Juice WRLD GO,Bad Bunny & Daddy Yankee La Santa,G.RINA All Around The World feat. ____,Metallica Nothing Else Matters
Alice In Chains Rooster,@highway Heavy Let Me Take Care of You (feat. Adrian Bagher & Coldrank),"Ludovico Einaudi, Daniel Hope & I Virtuosi Italiani Experience",Shania Twain Man! I Feel Like a Woman! (International Mix),Hit Master Your Dj Has Only Just Begin,Feid & Justin Quiles Porfa,Summer Walker & Drake Girls Need Love (Remix),Powerplay Powerplay
Saint Motel My Type,Dead Man's Uke Way Down in the Hole,"David Wilson-Johnson, Barbara Bonney, Orchestra of the Age of Enlightenment & Gustav Leonhardt Schweigt stille, plaudert nicht, BWV 211 ""Coffee Cantata"": VII. Nun folge, was dein Vater spricht (Rezitativ)",Uncle Kracker Follow Me,Arizona Zervas ROXANNE,Juanes La Camisa Negra (Sonidero Nacional Remix),J. Cole Can't Get Enough (feat. Trey Songz),Fleetwood Mac Dreams
Arctic Monkeys Do I Wanna Know?,Adrian Bagher If You Want to Leave,"Yo-Yo Ma Cello Suite No. 1 In G Major, BWV 1007: Prélude",Chase Rice Lonely If You Are,Pop Smoke Bad Bitch from Tokyo (Intro),J Balvin & Willy William Mi Gente,Doja Cat & Tyga Juicy,Nickelback Rockstar
Fitz and The Tantrums I Just Wanna Shine,Somnath Mali Ruk Ja O Dil Deewane,"Frozen Silence Into the Unknown (From ""Frozen 2"")",Johnny Cash Ring of Fire,Meek Mill Going Bad (feat. Drake),Black Eyed Peas & El Alfa NO MAÑANA,Kehlani Toxic,Kid Rock All Summer Long
Coldplay Yellow,Tiny Flaws The Ones in Your Head,Madeleine Cocolas In Distance,Lee Brice One of Them Girls,Gunna DOLLAZ ON MY HEAD (feat. Young Thug),Los Huracanes del Norte Ya Dile La Verdad,The Weeknd After Hours,Disturbed The Sound of Silence
Halsey Now Or Never,Jaye Hammer Party Mood,Timo Andres Move,Billy Joe Royal Down In the Boondocks,21 Savage a lot,Bad Bunny & Sech Ignorantes,Miguel Sky Walker (feat. Travis Scott),Crowded House Don't Dream It's Over
Coldplay Viva La Vida,Skeye Hold the Moon,London Philharmonic Orchestra & David Parry Adagio for Strings,Ingrid Andress We're Not Friends,Pop Smoke Yea Yea,Junior H Atrapado en un Sueño,Toni Braxton Do It,"Peter Frampton Baby, I Love Your Way (Live)"
Imagine Dragons Believer (Kaskade Remix),The Teskey Brothers Rain,The Vienna String Quartet Summertime,Parker McCollum Pretty Heart,Eminem Love the Way You Lie (feat. Rihanna),J Balvin Morado,Ben E. King Stand By Me,Billy Joel Piano Man
BANNERS Someone To You,Rod Stewart So Much to Say,Dirk Maassen Fjara (Solo Piano Version),Luke Combs Better Together,Lil Baby & 42 Dugg Grace,Calibre 50 Sólo tú,Lauryn Hill Can't Take My Eyes Off of You,Paul McCartney & Wings Silly Love Songs (Live)
